,0
0,Maximum Likelihood optimization failed to converge. Check mle_retvals
1,Retrying MixedLM optimization with lbfgs
2,The MLE may be on the boundary of the parameter space.
3,Maximum Likelihood optimization failed to converge. Check mle_retvals
4,Retrying MixedLM optimization with lbfgs
5,The MLE may be on the boundary of the parameter space.
6,Maximum Likelihood optimization failed to converge. Check mle_retvals
7,Retrying MixedLM optimization with lbfgs
8,The MLE may be on the boundary of the parameter space.
9,Maximum Likelihood optimization failed to converge. Check mle_retvals
10,Retrying MixedLM optimization with lbfgs
11,The MLE may be on the boundary of the parameter space.
12,Maximum Likelihood optimization failed to converge. Check mle_retvals
13,Retrying MixedLM optimization with lbfgs
14,The MLE may be on the boundary of the parameter space.
15,Maximum Likelihood optimization failed to converge. Check mle_retvals
16,Retrying MixedLM optimization with lbfgs
17,The MLE may be on the boundary of the parameter space.
18,Maximum Likelihood optimization failed to converge. Check mle_retvals
19,Retrying MixedLM optimization with lbfgs
20,The MLE may be on the boundary of the parameter space.
21,Maximum Likelihood optimization failed to converge. Check mle_retvals
22,Retrying MixedLM optimization with lbfgs
23,The MLE may be on the boundary of the parameter space.
24,The MLE may be on the boundary of the parameter space.
25,The MLE may be on the boundary of the parameter space.
26,The MLE may be on the boundary of the parameter space.
27,The MLE may be on the boundary of the parameter space.
28,The MLE may be on the boundary of the parameter space.
29,The MLE may be on the boundary of the parameter space.
30,The MLE may be on the boundary of the parameter space.
31,The MLE may be on the boundary of the parameter space.
32,Maximum Likelihood optimization failed to converge. Check mle_retvals
33,Retrying MixedLM optimization with lbfgs
34,The MLE may be on the boundary of the parameter space.
35,Maximum Likelihood optimization failed to converge. Check mle_retvals
36,Retrying MixedLM optimization with lbfgs
37,The MLE may be on the boundary of the parameter space.
38,The MLE may be on the boundary of the parameter space.
39,The MLE may be on the boundary of the parameter space.
40,The MLE may be on the boundary of the parameter space.
41,The MLE may be on the boundary of the parameter space.
42,Maximum Likelihood optimization failed to converge. Check mle_retvals
43,Retrying MixedLM optimization with lbfgs
44,The MLE may be on the boundary of the parameter space.
45,Maximum Likelihood optimization failed to converge. Check mle_retvals
46,Retrying MixedLM optimization with lbfgs
47,The MLE may be on the boundary of the parameter space.
48,Maximum Likelihood optimization failed to converge. Check mle_retvals
49,Retrying MixedLM optimization with lbfgs
50,The MLE may be on the boundary of the parameter space.
51,The MLE may be on the boundary of the parameter space.
52,Maximum Likelihood optimization failed to converge. Check mle_retvals
53,Retrying MixedLM optimization with lbfgs
54,The MLE may be on the boundary of the parameter space.
55,The MLE may be on the boundary of the parameter space.
56,The MLE may be on the boundary of the parameter space.
57,The MLE may be on the boundary of the parameter space.
58,The MLE may be on the boundary of the parameter space.
59,The MLE may be on the boundary of the parameter space.
60,Maximum Likelihood optimization failed to converge. Check mle_retvals
61,Retrying MixedLM optimization with lbfgs
62,The MLE may be on the boundary of the parameter space.
63,The MLE may be on the boundary of the parameter space.
64,The MLE may be on the boundary of the parameter space.
65,Maximum Likelihood optimization failed to converge. Check mle_retvals
66,Retrying MixedLM optimization with lbfgs
67,The MLE may be on the boundary of the parameter space.
68,The MLE may be on the boundary of the parameter space.
69,Maximum Likelihood optimization failed to converge. Check mle_retvals
70,Retrying MixedLM optimization with lbfgs
71,The MLE may be on the boundary of the parameter space.
72,Maximum Likelihood optimization failed to converge. Check mle_retvals
73,Retrying MixedLM optimization with lbfgs
74,The MLE may be on the boundary of the parameter space.
75,The MLE may be on the boundary of the parameter space.
76,The MLE may be on the boundary of the parameter space.
77,The MLE may be on the boundary of the parameter space.
78,Maximum Likelihood optimization failed to converge. Check mle_retvals
79,Retrying MixedLM optimization with lbfgs
80,The MLE may be on the boundary of the parameter space.
81,Maximum Likelihood optimization failed to converge. Check mle_retvals
82,Retrying MixedLM optimization with lbfgs
83,The MLE may be on the boundary of the parameter space.
84,Maximum Likelihood optimization failed to converge. Check mle_retvals
85,Retrying MixedLM optimization with lbfgs
86,The MLE may be on the boundary of the parameter space.
87,Maximum Likelihood optimization failed to converge. Check mle_retvals
88,Retrying MixedLM optimization with lbfgs
89,The MLE may be on the boundary of the parameter space.
90,Maximum Likelihood optimization failed to converge. Check mle_retvals
91,Retrying MixedLM optimization with lbfgs
92,The MLE may be on the boundary of the parameter space.
93,Maximum Likelihood optimization failed to converge. Check mle_retvals
94,Retrying MixedLM optimization with lbfgs
95,The MLE may be on the boundary of the parameter space.
96,Maximum Likelihood optimization failed to converge. Check mle_retvals
97,Retrying MixedLM optimization with lbfgs
98,The MLE may be on the boundary of the parameter space.
99,Maximum Likelihood optimization failed to converge. Check mle_retvals
100,Retrying MixedLM optimization with lbfgs
101,The MLE may be on the boundary of the parameter space.
102,Maximum Likelihood optimization failed to converge. Check mle_retvals
103,Retrying MixedLM optimization with lbfgs
104,The MLE may be on the boundary of the parameter space.
105,Maximum Likelihood optimization failed to converge. Check mle_retvals
106,Retrying MixedLM optimization with lbfgs
107,The MLE may be on the boundary of the parameter space.
108,Maximum Likelihood optimization failed to converge. Check mle_retvals
109,Retrying MixedLM optimization with lbfgs
110,The MLE may be on the boundary of the parameter space.
111,Maximum Likelihood optimization failed to converge. Check mle_retvals
112,Retrying MixedLM optimization with lbfgs
113,The MLE may be on the boundary of the parameter space.
114,Maximum Likelihood optimization failed to converge. Check mle_retvals
115,Retrying MixedLM optimization with lbfgs
116,The MLE may be on the boundary of the parameter space.
117,Maximum Likelihood optimization failed to converge. Check mle_retvals
118,Retrying MixedLM optimization with lbfgs
119,The MLE may be on the boundary of the parameter space.
120,Maximum Likelihood optimization failed to converge. Check mle_retvals
121,Retrying MixedLM optimization with lbfgs
122,The MLE may be on the boundary of the parameter space.
123,Maximum Likelihood optimization failed to converge. Check mle_retvals
124,Retrying MixedLM optimization with lbfgs
125,The MLE may be on the boundary of the parameter space.
126,Maximum Likelihood optimization failed to converge. Check mle_retvals
127,Retrying MixedLM optimization with lbfgs
128,The MLE may be on the boundary of the parameter space.
129,Maximum Likelihood optimization failed to converge. Check mle_retvals
130,Retrying MixedLM optimization with lbfgs
131,The MLE may be on the boundary of the parameter space.
132,Maximum Likelihood optimization failed to converge. Check mle_retvals
133,Retrying MixedLM optimization with lbfgs
134,The MLE may be on the boundary of the parameter space.
135,Maximum Likelihood optimization failed to converge. Check mle_retvals
136,Retrying MixedLM optimization with lbfgs
137,The MLE may be on the boundary of the parameter space.
138,Maximum Likelihood optimization failed to converge. Check mle_retvals
139,Retrying MixedLM optimization with lbfgs
140,The MLE may be on the boundary of the parameter space.
141,Maximum Likelihood optimization failed to converge. Check mle_retvals
142,Retrying MixedLM optimization with lbfgs
143,The MLE may be on the boundary of the parameter space.
144,Maximum Likelihood optimization failed to converge. Check mle_retvals
145,Retrying MixedLM optimization with lbfgs
146,The MLE may be on the boundary of the parameter space.
147,Maximum Likelihood optimization failed to converge. Check mle_retvals
148,Retrying MixedLM optimization with lbfgs
149,The MLE may be on the boundary of the parameter space.
150,Maximum Likelihood optimization failed to converge. Check mle_retvals
151,Retrying MixedLM optimization with lbfgs
152,The MLE may be on the boundary of the parameter space.
153,Maximum Likelihood optimization failed to converge. Check mle_retvals
154,Retrying MixedLM optimization with lbfgs
155,The MLE may be on the boundary of the parameter space.
156,Maximum Likelihood optimization failed to converge. Check mle_retvals
157,Retrying MixedLM optimization with lbfgs
158,The MLE may be on the boundary of the parameter space.
159,Maximum Likelihood optimization failed to converge. Check mle_retvals
160,Retrying MixedLM optimization with lbfgs
161,The MLE may be on the boundary of the parameter space.
162,Maximum Likelihood optimization failed to converge. Check mle_retvals
163,Retrying MixedLM optimization with lbfgs
164,The MLE may be on the boundary of the parameter space.
165,Maximum Likelihood optimization failed to converge. Check mle_retvals
166,Retrying MixedLM optimization with lbfgs
167,The MLE may be on the boundary of the parameter space.
168,Maximum Likelihood optimization failed to converge. Check mle_retvals
169,Retrying MixedLM optimization with lbfgs
170,The MLE may be on the boundary of the parameter space.
171,Maximum Likelihood optimization failed to converge. Check mle_retvals
172,Retrying MixedLM optimization with lbfgs
173,The MLE may be on the boundary of the parameter space.
174,Maximum Likelihood optimization failed to converge. Check mle_retvals
175,Retrying MixedLM optimization with lbfgs
176,The MLE may be on the boundary of the parameter space.
