,sample,he-score-min,ground-truth,generated-descrip,model,suspect
0,000413acaed32c00,1,"This dashboard icon depicts the word ""ELECTRIC""","This dashboard icon depicts the word ""ELECTRIC"" with an arrow pointing to it.",llava,Y
3,0500a9979da900a9,1,"This dashboard icon depicts a battery with ""SOS"" written in the middle of it and an exclamation mark to the right of the battery",The dashboard icon is a visual representation of an SOS battery fault warning light,llava,Y
4,519386468694131,1,This amber dashboard icon depicts an electric cable with a plug on the end,The dashboard icon features a stylized representation of a battery and charging path with the letters 'SC' inscribed at its center.,llava,Y
5,0ef17854d5e1708f,1,"This dashboard icon depicts a series of curved lines that form a circular shape which represent motion or energy. Inside this circle, there is a thunder bolt symbol which represents power",The image features a circular icon with a lightning bolt and an arrow-like symbol pointing to the right,llava,Y
6,15303694d5d63631,1,This green dashboard icon depicts a key with and exclamation mark on top.,"The dashboard icon is a green key with two small white dots at the bottom, and it has a green outline.",llava,Y
8,1852e4b1e8e8b2b0,1,This gray dashboard icon depicts stylized representations of two vehicles. The front of one vehicle is close to the rear of the other vehicle. Above the vehicles is a symbol representing a collision or crash and below the vehicles the word “OFF” is depicted.,"The icon features a car with an exclamation mark inside it, and the word 'OFF' next to it.",llava,Y
9,1d685b9295859519,1,This red dashboard icon depicts a vehicle as seen from the front or rear. A padlock is shown on top of the vehicle.,"The icon is a red and black graphic of an automobile with a car symbol, and below it, there's a key in a lock.",llava,Y
10,239886a3a396d823,1,This dashboard icon depicts a vehicle headlight with five horizontal lines representing beams of light emanating from the headlight,"The icon depicts a headlight with a snowflake inside, representing icy road conditions while the high beam is on",llava,Y
11,23cccc552faa54aa,1,"This dashboard icon depicts a car battery with ""+"" and ""-"" symbols representing positive and negative terminals of the battery. At the bottom, inside the battery, there are waves that represent coolant fluid",The icon features a battery symbol with a plus sign above it,llava,Y
13,265eb85cbcbcd622,1,This dashboard icon depicts a side view of a lock key with the head being on the right. There are three curved lines representing a signal that are going north west from the lock key head,The dashboard icon features a car with an open trunk and a key,llava,Y
14,293936324a6a2a2a,1,This dashboard icon depicts a dashed straight line representing a lane on the road and to the right of it a slanted top view of a car with a solid line representing another lane on the road. The head of the car is on top of the solid line lane. To the right of all of this is an exclamation mark,"The icon shows a car with an exclamation mark next to it, indicating an alert or warning related to the vehicle",llava,
15,2969a924d0d9f5e1,1,This dashboard icon depicts a vehicle as seen from the rear. Below the vehicle are two wavy lines that represent skid marks and the word “OFF” appears,"The dashboard icon features a car symbol with three wavy lines above it, representing motion or instability. There's a red 'OFF' label to the right of the car.",llava,Y
16,2a15eabab6479000,1,"This dashboard icon depicts the word ""HYBRID""","This dashboard icon depicts the word ""HYBRID"" with a light.",llava,Y
17,2cf3ad36268df32c,1,This dashboard icon depicts the letter “P” with a circle drawn around it and there is an arc on the left side and right side outside the circle. To the right there is an exclamation mark,The image features a dashboard icon consisting of the word 'HOLD' in bold white letters with an exclamation mark next to it.,llava,Y
18,3068ccc44c496168,2,This amber dashboard icon depicts a vehicle as seen from the rear. Below the vehicle are two wavy lines that represent skid marks and the word “OFF” appears.,This dashboard icon depicts an image of a car with the electronic stability control system turned off,llava,Y
19,30b068b070786864,1,This white dashboard icon depicts a light bulb above the word “AUTO”,This white dashboard icon depicts a steering wheel with sunrays,llava,Y
21,310171386ccc114d,2,This amber dashboard icon depicts part of a vehicle as seen from the side. The vehicle's roof is partially retracted.,The dashboard icon shows a stylized car with a retractable hardtop in the open position,llava,Y
22,31f082dce48afc30,1,This dashboard icon depicts two straight lines representing the ground or road. On top of both these lines is the side view of an outline of a car. The cars on the line are shown in a vertical manner and on the very top is a triangle representing up and on the very bottom is an upside down triangle representing down,"The icon displays a stylized representation of two stacked cars on top of each other, with the bottom car's suspension raised.",llava,Y
23,40c0999564ee6a4a,1,"This dashboard icon depicts three lines, two outer solid lines and one dashed line in the middle representing two lanes on the road. o the upper left of the road is a waning crescent moon","The dashboard icon depicts a road with two solid lines, a crescent moon on the left side, and an exclamation mark next to it.",llava,Y
24,42b48a6af86c8b70,1,This dashboard icon depicts a side view of a car with a speaker outputting sound to the top left of it and an exclamation mark to the right of it,"The image shows a dashboard icon consisting of a car, an exclamation mark inside a bell, and three vertical lines.",llava,Y
25,44a26955d496b24d,2,This white dashboard icon depicts a road with lane markings,"The dashboard icon is a simplified representation of a road with lane markings, indicating the vehicle's position on the road",llava,
27,4dccd496868aaa45,1,This green dashboard icon depicts a road with lane markings,"This dashboard icon consists of two parallel green lines with a solid line on top and two dashed lines on the bottom, all set against a black background",llava,Y
28,59b4e4ccc469c2c0,1,This green dashboard icon depicts an electric cable with a plug on the end,"The icon is a stylized representation of a battery with a lightning bolt, indicating that it's charged",llava,Y
29,5a59b16464e0a829,1,This dashboard icon depicts a car trailer with a triangle above it. Inside the triangle is an exclamation mark,"The dashboard icon is a stylized graphic of a truck with a red exclamation mark on top, symbolizing an issue or warning",llava,Y
30,629974e878f4c803,1,"This white dashboard icon depicts a vehicle wheel on an uneven surface. There is an arrow next to the wheel, showing that the wheel is moving.",The icon consists of a gear shift with a lock symbol above it and an arrow pointing to the left,llava,Y
